id,created_at,full_text,media,screen_name,name,profile_image_url,user_id,in_reply_to,retweeted_status,quoted_status,media_tags,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
"1992417826292871417","2025-11-23 09:20:01 +07:00","Thomas Massie says Israel wants to control what can and cannot be revealed in the Epstein files, claiming both Israeli intelligence and the CIA were entangled with Epstein and fear the embarrassment full transparency would bring.\n\nHe says revealing everything would expose uncomfortable ties within both governments’ intelligence agencies.\n\nMassie says he and Marjorie Taylor Greene are being targeted online by bots and paid operatives for opposing Israel’s war in Gaza and rejecting foreign and military aid.","[{""type"":""video"",""url"":""https://t.co/fpeKyfk6Kk"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/1992417805216477184/pu/img/AB7jpHl3nfqZF9Tt.jpg?name=thumb"",""original"":""https://video.twimg.com/ext_tw_video/1992417805216477184/pu/vid/avc1/202x360/AhyXeziV7cr8ke5_.mp4?tag=19""}]","ShadowofEzra","Shadow of Ezra","https://pbs.twimg.com/profile_images/1608460256752926720/ouO0x9-k_normal.jpg","1608459779239706627","null","null","null","[]",28747,6732,2480,191,604,926881,false,false,false,"https://twitter.com/ShadowofEzra/status/1992417826292871417"
"1992435077205332467","2025-11-23 10:28:34 +07:00","Full interview: https://t.co/OUPYG6yXLq","[]","ShadowofEzra","Shadow of Ezra","https://pbs.twimg.com/profile_images/1608460256752926720/ouO0x9-k_normal.jpg","1608459779239706627","1992417826292871417","null","null","[]",364,95,102,3,10,71486,false,false,false,"https://twitter.com/ShadowofEzra/status/1992435077205332467"
"1992438287538217406","2025-11-23 10:41:20 +07:00","This is what every country would have if we had Catholic monarchs with real power.","[]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","null","1992255092615979226","[]",986,57,27,2,12,23256,false,false,false,"https://twitter.com/poperespecter1/status/1992438287538217406"
"1992446403964977271","2025-11-23 11:13:35 +07:00","X has called the story claiming that the official Department of Homeland Security account was showing Israel as its location “fake news,” insisting that the account’s location cannot be seen on any grey-check account.\n\nX has also said that the DHS account has only shown IPs from the United States since it was created.","[{""type"":""photo"",""url"":""https://t.co/AvVUd8aynA"",""thumbnail"":""https://pbs.twimg.com/media/G6aXciqXwAAUkP-?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/G6aXciqXwAAUkP-?format=jpg&name=orig""}]","ShadowofEzra","Shadow of Ezra","https://pbs.twimg.com/profile_images/1608460256752926720/ouO0x9-k_normal.jpg","1608459779239706627","null","null","null","[]",1175,322,156,40,175,131373,false,false,false,"https://twitter.com/ShadowofEzra/status/1992446403964977271"
"1992459986698682477","2025-11-23 12:07:33 +07:00","RT @Sachinettiyil: The United States is blessed with nearly 37,000 Catholic priests, faithfully serving communities across the country. htt…","[{""type"":""video"",""url"":""https://t.co/LBANBKsrPP"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/1992454956163481600/img/a3jOzLNgNLKzlEQJ.jpg?name=thumb"",""original"":""https://video.twimg.com/amplify_video/1992454956163481600/vid/avc1/720x1280/cV8UWLb041jlO6af.mp4?tag=21""}]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","1992455009112592649","null","[]",0,142,0,0,0,"null",false,false,false,"https://twitter.com/poperespecter1/status/1992459986698682477"
"1992468602747015424","2025-11-23 12:41:47 +07:00","God didn't make us for comfort. We were made for greatness. https://t.co/kS3PUuqujS","[{""type"":""video"",""url"":""https://t.co/kS3PUuqujS"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/1992468550053683200/img/sycYbYYkBH5AIU0u.jpg?name=thumb"",""original"":""https://video.twimg.com/amplify_video/1992468550053683200/vid/avc1/1280x720/GUzeJXTp1ZuBqa2b.mp4?tag=21""}]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","null","null","[]",1587,171,208,4,25,15681,false,false,false,"https://twitter.com/poperespecter1/status/1992468602747015424"
"1992562332409466908","2025-11-23 18:54:14 +07:00","If I had $100,000 to invest in my health, I'd buy these:\n\n- Sauna\n- Hot tub\n- Home gym\n- Air purifier\n- Meal prep\n- Cold plunge\n- Health coach\n- Water flosser\n- Standing desk\n- Under desk treadmill\n- Functional blood work\n- Red light therapy lamp\n- Incandescent light bulbs\n- Reverse osmosis water filter\n- Great mattress and bedding\n- Membership at the best gym in the area\n\nWhat about you?","[]","FitFounder","Dan Go","https://pbs.twimg.com/profile_images/1279092409587163137/eN82f_KT_normal.jpg","954336280380346368","null","null","null","[]",5559,374,5111,72,489,1173100,false,false,false,"https://twitter.com/FitFounder/status/1992562332409466908"
"1992581393977843736","2025-11-23 20:09:59 +07:00","RT @CatholicNewsSvc: #PopeLeoXIV, before reciting the Angelus and ""with great sadness,"" calls the world's attention to recent kidnappings o…","[{""type"":""photo"",""url"":""https://t.co/KE2zPzNPCp"",""thumbnail"":""https://pbs.twimg.com/media/G6bzyBFXAAAaP6i?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/G6bzyBFXAAAaP6i?format=jpg&name=orig""}]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","1992547932436890084","null","[]",0,141,0,0,0,"null",false,false,false,"https://twitter.com/poperespecter1/status/1992581393977843736"
"1992585441544110232","2025-11-23 20:26:04 +07:00","Pope calls for release of kidnapped Nigerian schoolchildren. https://t.co/a5y8bKIIM5","[{""type"":""photo"",""url"":""https://t.co/a5y8bKIIM5"",""thumbnail"":""https://pbs.twimg.com/media/G6cVv30W0AAnJyR?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/G6cVv30W0AAnJyR?format=jpg&name=orig""}]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","null","null","[]",1256,113,26,4,23,20253,false,false,false,"https://twitter.com/poperespecter1/status/1992585441544110232"
"1992588360867877118","2025-11-23 20:37:40 +07:00","RT @Pontifex: I was deeply saddened to learn of the kidnapping of priests, faithful, and students in Nigeria and Cameroon. I feel great pai…","[]","poperespecter1","Pope Respecter","https://pbs.twimg.com/profile_images/1920584929110261761/8-WGDr5-_normal.jpg","1303122298300502016","null","1992586431995220328","null","[]",0,7544,0,0,0,"null",false,false,false,"https://twitter.com/poperespecter1/status/1992588360867877118"
